subject,tapNum,x_pos,y_pos,time_stamp (in ms.)
s07_nd_0,1,0.7510416666666667,0.2064814814814815,1649593858941.483
s07_nd_0,1,0.7510416666666667,0.2064814814814815,1649593858953.51
s07_nd_0,1,0.7510416666666667,0.20740740740740737,1649593858965.4993
s07_nd_0,1,0.7515625,0.20833333333333337,1649593858977.6904
s07_nd_0,1,0.7520833333333333,0.21018518518518514,1649593858990.5989
s07_nd_0,1,0.753125,0.2129629629629629,1649593859003.3867
s07_nd_0,1,0.7536458333333333,0.2148148148148148,1649593859015.1465
s07_nd_0,1,0.7541666666666667,0.21666666666666667,1649593859027.6235
s07_nd_0,1,0.7546875,0.22037037037037033,1649593859039.8423
s07_nd_0,1,0.7557291666666667,0.2231481481481481,1649593859051.9402
s07_nd_0,1,0.7572916666666667,0.22685185185185186,1649593859064.108
s07_nd_0,1,0.7598958333333333,0.23333333333333328,1649593859076.419
s07_nd_0,1,0.7645833333333333,0.24814814814814812,1649593859089.067
s07_nd_0,1,0.7666666666666667,0.25462962962962965,1649593859100.9136
s07_nd_0,1,0.7682291666666666,0.26111111111111107,1649593859112.7085
s07_nd_0,1,0.7692708333333333,0.2666666666666667,1649593859124.656
s07_nd_0,1,0.7708333333333334,0.2787037037037037,1649593859136.9768
s07_nd_0,1,0.7713541666666667,0.2851851851851852,1649593859149.5312
s07_nd_0,1,0.7723958333333333,0.29166666666666663,1649593859161.4128
s07_nd_0,1,0.7729166666666667,0.29907407407407405,1649593859173.5757
s07_nd_0,1,0.7755208333333333,0.312962962962963,1649593859186.883
s07_nd_0,1,0.7776041666666667,0.3194444444444444,1649593859198.358
s07_nd_0,1,0.7796875,0.3277777777777777,1649593859211.1838
s07_nd_0,1,0.78125,0.33425925925925926,1649593859223.1904
s07_nd_0,1,0.784375,0.35,1649593859235.358
s07_nd_0,1,0.7854166666666667,0.3592592592592593,1649593859248.4639
s07_nd_0,1,0.7864583333333334,0.3675925925925926,1649593859261.7646
s07_nd_0,1,0.7875,0.3768518518518519,1649593859273.7449
s07_nd_0,1,0.7890625,0.3944444444444445,1649593859286.1384
s07_nd_0,1,0.7895833333333333,0.4037037037037037,1649593859297.9946
s07_nd_0,1,0.7895833333333333,0.412962962962963,1649593859310.527
s07_nd_0,1,0.790625,0.43148148148148147,1649593859322.3818
s07_nd_0,1,0.7911458333333333,0.43981481481481477,1649593859334.0566
s07_nd_0,1,0.7921875,0.44907407407407407,1649593859345.4907
s07_nd_0,1,0.7927083333333333,0.4574074074074074,1649593859357.6155
s07_nd_0,1,0.7932291666666667,0.4666666666666667,1649593859370.5496
s07_nd_0,1,0.7947916666666667,0.4833333333333333,1649593859383.0808
s07_nd_0,1,0.7953125,0.4916666666666667,1649593859396.0115
s07_nd_0,1,0.7963541666666667,0.5,1649593859408.1882
s07_nd_0,1,0.7963541666666667,0.5166666666666666,1649593859420.9778
s07_nd_0,1,0.7963541666666667,0.5240740740740741,1649593859432.883
s07_nd_0,1,0.7963541666666667,0.5324074074074074,1649593859444.4043
s07_nd_0,1,0.7963541666666667,0.5407407407407407,1649593859456.6353
s07_nd_0,1,0.7958333333333333,0.5481481481481482,1649593859469.5886
s07_nd_0,1,0.7958333333333333,0.5648148148148149,1649593859481.7163
s07_nd_0,1,0.7958333333333333,0.5722222222222222,1649593859494.039
s07_nd_0,1,0.7958333333333333,0.5796296296296296,1649593859505.911
s07_nd_0,1,0.7947916666666667,0.5935185185185186,1649593859518.5613
s07_nd_0,1,0.7942708333333334,0.6009259259259259,1649593859530.8599
s07_nd_0,1,0.79375,0.6074074074074074,1649593859542.653
s07_nd_0,1,0.7927083333333333,0.6138888888888889,1649593859555.4785
s07_nd_0,1,0.7921875,0.6277777777777778,1649593859567.0957
s07_nd_0,1,0.7916666666666666,0.6342592592592593,1649593859578.577
s07_nd_0,1,0.7911458333333333,0.6416666666666666,1649593859590.245
s07_nd_0,1,0.790625,0.6481481481481481,1649593859602.5894
s07_nd_0,1,0.7901041666666667,0.6537037037037037,1649593859615.2864
s07_nd_0,1,0.7890625,0.6657407407407407,1649593859627.8887
s07_nd_0,1,0.7880208333333333,0.6722222222222223,1649593859639.6094
s07_nd_0,1,0.7880208333333333,0.6768518518518518,1649593859651.218
s07_nd_0,1,0.7864583333333334,0.6888888888888889,1649593859663.776
s07_nd_0,1,0.7854166666666667,0.6944444444444444,1649593859675.4102
s07_nd_0,1,0.784375,0.7,1649593859687.0134
s07_nd_0,1,0.7822916666666667,0.7064814814814815,1649593859698.5603
s07_nd_0,1,0.7807291666666667,0.712037037037037,1649593859710.3928
s07_nd_0,1,0.7786458333333334,0.7175925925925926,1649593859723.2498
s07_nd_0,1,0.775,0.7296296296296296,1649593859736.3857
s07_nd_0,1,0.7734375,0.7351851851851852,1649593859748.1123
s07_nd_0,1,0.7723958333333333,0.7398148148148148,1649593859760.3682
s07_nd_0,1,0.7697916666666667,0.75,1649593859772.4304
s07_nd_0,1,0.76875,0.7546296296296297,1649593859785.0884
s07_nd_0,1,0.7671875,0.7592592592592593,1649593859797.3872
s07_nd_0,1,0.7651041666666667,0.7638888888888888,1649593859810.1323
s07_nd_0,1,0.7598958333333333,0.7740740740740741,1649593859821.6794
s07_nd_0,1,0.7572916666666667,0.7787037037037037,1649593859834.3616
s07_nd_0,1,0.7552083333333334,0.7833333333333333,1649593859846.2063
s07_nd_0,1,0.7536458333333333,0.787962962962963,1649593859858.3884
s07_nd_0,1,0.75,0.7972222222222223,1649593859870.16
s07_nd_0,1,0.7473958333333334,0.8018518518518518,1649593859882.598
s07_nd_0,1,0.7442708333333333,0.8055555555555556,1649593859895.0503
s07_nd_0,1,0.7411458333333333,0.8092592592592592,1649593859907.086
s07_nd_0,1,0.7385416666666667,0.812037037037037,1649593859919.1475
s07_nd_0,1,0.734375,0.8194444444444444,1649593859930.4827
s07_nd_0,1,0.7317708333333334,0.8231481481481482,1649593859942.376
s07_nd_0,1,0.7286458333333333,0.825,1649593859954.5342
s07_nd_0,1,0.725,0.8277777777777777,1649593859966.7112
s07_nd_0,1,0.721875,0.8305555555555555,1649593859978.4463
s07_nd_0,1,0.7177083333333333,0.8351851851851853,1649593859990.589
s07_nd_0,1,0.7161458333333334,0.837037037037037,1649593860002.729
s07_nd_0,1,0.7130208333333333,0.8398148148148148,1649593860014.5007
s07_nd_0,1,0.709375,0.8416666666666667,1649593860027.0396
s07_nd_0,1,0.703125,0.8462962962962963,1649593860039.51
s07_nd_0,1,0.7005208333333334,0.8472222222222222,1649593860051.3042
