subject,tapNum,x_pos,y_pos,time_stamp (in ms.)
Yoav_0,-1,-1,-1,1646741627048.9268
Yoav_0,-1,-1,-1,1646741627061.923
Yoav_0,-1,-1,-1,1646741627074.8892
Yoav_0,-1,-1,-1,1646741627087.8652
Yoav_0,-1,-1,-1,1646741627100.8257
Yoav_0,-1,-1,-1,1646741627112.796
Yoav_0,-1,-1,-1,1646741627125.5283
Yoav_0,-1,-1,-1,1646741627138.4978
Yoav_0,-1,-1,-1,1646741627150.4216
Yoav_0,-1,-1,-1,1646741627163.4202
Yoav_0,-1,-1,-1,1646741627176.3853
Yoav_0,-1,-1,-1,1646741627189.3167
Yoav_0,-1,-1,-1,1646741627201.32
Yoav_0,1,0.531875,0.4555555555555556,1646741627214.2817
Yoav_0,1,0.531875,0.4555555555555556,1646741627227.2156
Yoav_0,1,0.531875,0.4555555555555556,1646741627240.181
Yoav_0,1,0.531875,0.4555555555555556,1646741627252.1934
Yoav_0,1,0.531875,0.4555555555555556,1646741627265.1133
Yoav_0,1,0.531875,0.4555555555555556,1646741627278.111
Yoav_0,1,0.531875,0.4555555555555556,1646741627291.0486
Yoav_0,1,0.531875,0.4555555555555556,1646741627303.0554
Yoav_0,1,0.531875,0.4555555555555556,1646741627315.0217
Yoav_0,-1,-1,-1,1646741627327.9927
Yoav_0,-1,-1,-1,1646741627340.9116
Yoav_0,-1,-1,-1,1646741627352.9102
Yoav_0,-1,-1,-1,1646741627364.8809
Yoav_0,-1,-1,-1,1646741627376.816
Yoav_0,-1,-1,-1,1646741627388.7842
Yoav_0,-1,-1,-1,1646741627401.78
Yoav_0,-1,-1,-1,1646741627413.7563
Yoav_0,-1,-1,-1,1646741627425.7268
Yoav_0,-1,-1,-1,1646741627437.691
Yoav_0,-1,-1,-1,1646741627449.6628
Yoav_0,-1,-1,-1,1646741627461.6274
Yoav_0,-1,-1,-1,1646741627473.5894
Yoav_0,-1,-1,-1,1646741627485.565
Yoav_0,-1,-1,-1,1646741627498.5308
Yoav_0,-1,-1,-1,1646741627511.4934
Yoav_0,-1,-1,-1,1646741627524.4202
Yoav_0,-1,-1,-1,1646741627536.4302
Yoav_0,-1,-1,-1,1646741627548.3948
Yoav_0,-1,-1,-1,1646741627560.3633
Yoav_0,-1,-1,-1,1646741627572.3362
Yoav_0,-1,-1,-1,1646741627584.2612
Yoav_0,-1,-1,-1,1646741627596.229
Yoav_0,-1,-1,-1,1646741627608.2002
Yoav_0,-1,-1,-1,1646741627620.1646
Yoav_0,2,0.77625,0.6411111111111112,1646741627632.1628
Yoav_0,2,0.778125,0.6488888888888888,1646741627644.1333
Yoav_0,2,0.778125,0.6511111111111111,1646741627656.0715
Yoav_0,2,0.778125,0.6633333333333333,1646741627668.0757
Yoav_0,2,0.778125,0.6722222222222223,1646741627680.0422
Yoav_0,2,0.7775,0.6966666666666667,1646741627692.0112
Yoav_0,2,0.773125,0.7066666666666667,1646741627703.98
Yoav_0,2,0.76375,0.7233333333333334,1646741627715.9426
Yoav_0,2,0.75625,0.7344444444444445,1646741627727.9082
Yoav_0,2,0.733125,0.7611111111111111,1646741627739.8462
Yoav_0,2,0.719375,0.7711111111111111,1646741627751.852
Yoav_0,2,0.68625,0.7911111111111111,1646741627763.8186
Yoav_0,2,0.66625,0.7988888888888889,1646741627775.7878
Yoav_0,2,0.624375,0.8133333333333334,1646741627787.762
Yoav_0,2,0.605625,0.8155555555555556,1646741627799.7244
Yoav_0,2,0.56375,0.8211111111111111,1646741627811.6912
Yoav_0,2,0.545625,0.8211111111111111,1646741627823.6235
Yoav_0,2,0.506875,0.8211111111111111,1646741627835.5884
Yoav_0,2,0.4925,0.8211111111111111,1646741627847.5564
Yoav_0,2,0.460625,0.8211111111111111,1646741627859.55
Yoav_0,2,0.4475,0.8211111111111111,1646741627871.4922
Yoav_0,2,0.4225,0.8211111111111111,1646741627884.4893
Yoav_0,2,0.399375,0.8211111111111111,1646741627896.4255
Yoav_0,2,0.38625,0.8211111111111111,1646741627908.393
Yoav_0,2,0.3725,0.8211111111111111,1646741627920.3623
Yoav_0,2,0.35125,0.8211111111111111,1646741627932.3306
Yoav_0,2,0.3325,0.8200000000000001,1646741627943.997
Yoav_0,2,0.326875,0.8155555555555556,1646741627955.9324
Yoav_0,2,0.320625,0.81,1646741627967.901
Yoav_0,2,0.3075,0.7944444444444445,1646741627979.8987
Yoav_0,2,0.303125,0.7888888888888889,1646741627991.8389
Yoav_0,2,0.2925,0.77,1646741628003.8062
Yoav_0,2,0.285,0.7566666666666666,1646741628015.7732
Yoav_0,2,0.270625,0.7255555555555555,1646741628028.739
Yoav_0,2,0.2525,0.6877777777777778,1646741628041.7046
Yoav_0,2,0.244375,0.6655555555555556,1646741628053.6733
Yoav_0,2,0.22625,0.6177777777777778,1646741628066.6382
Yoav_0,2,0.219375,0.5966666666666667,1646741628079.6028
Yoav_0,2,0.2025,0.5466666666666666,1646741628092.571
Yoav_0,2,0.191875,0.49777777777777776,1646741628104.538
Yoav_0,2,0.18625,0.4733333333333334,1646741628117.2805
Yoav_0,2,0.178125,0.4277777777777778,1646741628129.2478
Yoav_0,2,0.175625,0.4033333333333333,1646741628141.2173
