subject_id,tapNum,natRhythmTap
001,1,163887403610516.34
001,2,163887403645939.5
001,3,163887403697143.47
001,4,163887403726340.4
001,5,163887403802337.22
001,6,163887403827963.72
001,7,163887403907950.72
001,8,163887403964333.78
001,9,163887404018403.53
001,10,163887404084497.94
001,11,163887404135883.22
001,12,163887404194667.72
001,13,163887404270696.72
001,14,163887404315092.8
