subject_id,tapNum,natRhythmTap
001,1,163887432268384.28
001,2,163887432308998.4
001,3,163887432349440.56
001,4,163887432391093.3
001,5,163887432433708.75
001,6,163887432472722.84
001,7,163887432513138.78
001,8,163887432553844.97
001,9,163887432591904.03
001,10,163887432632628.7
001,11,163887432673015.88
001,12,163887432708593.06
001,13,163887432744221.66
001,14,163887432785958.3
001,15,163887432826315.5
001,16,163887432867802.7
001,17,163887432910360.38
001,18,163887432947174.56
001,19,163887432987647.03
001,20,163887433028232.38
001,21,163887433072350.97
001,22,163887433114046.16
001,23,163887433151939.84
001,24,163887433194948.28
001,25,163887433241605.66
001,26,163887433279272.5
001,27,163887433319712.16
001,28,163887433360233.03
001,29,163887433398009.03
001,30,163887433437132.03
001,31,163887433477392.8
001,32,163887433516514.66
001,33,163887433554274.28
001,34,163887433595747.66
001,35,163887433631335.34
001,36,163887433671605.62
001,37,163887433708382.7
001,38,163887433750039.84
001,39,163887433795566.75
001,40,163887433835925.28
001,41,163887433873622.03
001,42,163887433913904.75
001,43,163887433950742.97
001,44,163887433991122.6
001,45,163887434027756.28
001,46,163887434069298.62
001,47,163887434104794.12
001,48,163887434144026.72
001,49,163887434183063.8
001,50,163887434220911.56
001,51,163887434259967.0
001,52,163887434303829.97
001,53,163887434346477.28
001,54,163887434385675.9
001,55,163887434425854.56
001,56,163887434459985.22
001,57,163887434504017.06
001,58,163887434543078.6
001,59,163887434583488.9
001,60,163887434623584.56
001,61,163887434666447.47
001,62,163887434708075.78
001,63,163887434748272.78
001,64,163887434784029.12
001,65,163887434826888.5
001,66,163887434866237.22
001,67,163887434905528.7
001,68,163887434947236.72
001,69,163887434986439.72
001,70,163887435020641.5
001,71,163887435055141.03
001,72,163887435097909.5
001,73,163887435133508.72
001,74,163887435173699.34
001,75,163887435212660.66
001,76,163887435251793.53
001,77,163887435286145.22
001,78,163887435327796.53
001,79,163887435372999.78
001,80,163887435413406.8
001,81,163887435456220.7
001,82,163887435496807.4
001,83,163887435540595.2
001,84,163887435586030.2
001,85,163887435626300.25
001,86,163887435669095.72
001,87,163887435709580.4
001,88,163887435748969.22
001,89,163887435788144.62
001,90,163887435834753.22
001,91,163887435871342.44
001,92,163887435909422.4
001,93,163887435943687.28
001,94,163887435981725.22
001,95,163887436023259.7
001,96,163887436057900.03
001,97,163887436089876.94
001,98,163887436130227.38
001,99,163887436169064.47
001,100,163887436205895.38
001,101,163887436247220.9
001,102,163887436286286.03
001,103,163887436327037.6
001,104,163887436368799.25
001,105,163887436405558.53
001,106,163887436439672.72
001,107,163887436477564.03
001,108,163887436514428.0
001,109,163887436559617.44
001,110,163887436595168.03
001,111,163887436636831.97
001,112,163887436673791.78
001,113,163887436709752.0
001,114,163887436744202.6
001,115,163887436784521.72
001,116,163887436818835.62
001,117,163887436852187.1
001,118,163887436886433.2
001,119,163887436924280.3
001,120,163887436960834.7
001,121,163887436993853.75
001,122,163887437040442.72
001,123,163887437080828.16
001,124,163887437124973.7
001,125,163887437162891.78
001,126,163887437203246.53
001,127,163887437232572.22
001,128,163887437275310.22
001,129,163887437315723.9
001,130,163887437349966.56
001,131,163887437384272.16
001,132,163887437424620.38
001,133,163887437456376.38
001,134,163887437493056.6
001,135,163887437534469.88
001,136,163887437576257.5
001,137,163887437617918.3
001,138,163887437656100.06
001,139,163887437690169.75
001,140,163887437720866.38
001,141,163887437757378.0
001,142,163887437784276.1
001,143,163887437818610.44
