subject,tapNum,x_pos,y_pos,time_stamp (in ms.)
s_02_lg_0,1,0.6515625,0.5925925925925926,1649581630183.4524
s_02_lg_0,1,0.6515625,0.5925925925925926,1649581630195.95
s_02_lg_0,1,0.6515625,0.5925925925925926,1649581630208.1914
s_02_lg_0,1,0.6557291666666667,0.5898148148148148,1649581630220.741
s_02_lg_0,1,0.6598958333333333,0.5861111111111111,1649581630232.4746
s_02_lg_0,1,0.6625,0.5824074074074075,1649581630244.538
s_02_lg_0,1,0.6625,0.5824074074074075,1649581630256.746
s_02_lg_0,1,0.665625,0.575925925925926,1649581630269.0874
s_02_lg_0,1,0.6677083333333333,0.5685185185185185,1649581630281.3267
s_02_lg_0,1,0.6692708333333334,0.5583333333333333,1649581630293.8022
s_02_lg_0,1,0.6703125,0.5509259259259259,1649581630306.2349
s_02_lg_0,1,0.6713541666666667,0.5425925925925925,1649581630318.4265
s_02_lg_0,1,0.6729166666666667,0.5277777777777778,1649581630330.8938
s_02_lg_0,1,0.6739583333333333,0.5175925925925926,1649581630343.0183
s_02_lg_0,1,0.6744791666666666,0.5018518518518518,1649581630355.4436
s_02_lg_0,1,0.6744791666666666,0.4898148148148148,1649581630368.154
s_02_lg_0,1,0.6734375,0.4712962962962963,1649581630380.658
s_02_lg_0,1,0.6729166666666667,0.46018518518518514,1649581630392.6274
s_02_lg_0,1,0.6713541666666667,0.4444444444444444,1649581630404.9014
s_02_lg_0,1,0.6697916666666667,0.43518518518518523,1649581630416.5989
s_02_lg_0,1,0.6666666666666666,0.42314814814814816,1649581630429.0332
s_02_lg_0,1,0.6640625,0.41481481481481486,1649581630441.3518
s_02_lg_0,1,0.6588541666666666,0.40555555555555556,1649581630453.7646
s_02_lg_0,1,0.65625,0.4018518518518519,1649581630466.0544
s_02_lg_0,1,0.653125,0.399074074074074,1649581630478.5571
s_02_lg_0,1,0.6479166666666667,0.399074074074074,1649581630490.999
s_02_lg_0,1,0.64375,0.4,1649581630502.5286
s_02_lg_0,1,0.6369791666666667,0.4046296296296297,1649581630514.9387
s_02_lg_0,1,0.6317708333333333,0.4083333333333333,1649581630526.8123
s_02_lg_0,1,0.6229166666666667,0.4194444444444444,1649581630539.2979
s_02_lg_0,1,0.615625,0.4277777777777778,1649581630550.8518
s_02_lg_0,1,0.6046875,0.44166666666666665,1649581630563.632
s_02_lg_0,1,0.5973958333333333,0.44999999999999996,1649581630576.0908
