
====================================================================================================
Number,       Operation, Result, Comment
     1,      MutualTest,   Fail,  NG X/Y Node = (44,2), (44,3), (44,19), (44,20), (44,21), (44,22), (44,23), (45,2), (45,3), (45,4), (45,5), (45,6), (45,7), (45,8), (45,9), (45,10), (45,11), (45,12), (45,13), (45,14), (45,15), (45,16), (45,17), (45,18), (45,19), (45,20), (45,21), (45,22), (45,23), (45,24), (45,25), (45,26), (45,27), (45,28), (45,29), (45,30), (45,31), (45,32), (45,33), (45,34), (45,37), (45,40), (46,2), (46,3), (46,4), (46,5), (46,6), (46,7), (46,8), (46,9)... | NG X Channel = X44, X45, NG Y Channel = 48
     2,            None,   None, 
     3,            None,   None, 
     4,            None,   None, 
     5,            None,   None, 
     6,            None,   None, 
     7,            None,   None, 
     8,            None,   None, 
     9,            None,   None, 
    10,            None,   None, 
