
====================================================================================================
Number,       Operation, Result, Comment
     1,      MutualTest,   Fail,  NG X/Y Node = (44,25), (44,26), (44,27), (44,28), (44,29), (44,30), (44,31), (44,32), (44,33), (44,34), (44,35), (44,36), (44,37), (44,38), (44,39), (44,40), (44,41), (44,42), (44,44), (45,2), (45,3), (45,4), (45,5), (45,6), (45,7), (45,8), (45,9), (45,10), (45,11), (45,12), (45,13), (45,14), (45,15), (45,16), (45,17), (45,18), (45,19), (45,20), (45,21), (45,22), (45,23), (45,24), (45,25), (45,26), (45,27), (45,28), (45,29), (45,30), (45,31), (45,32)... | NG X Channel = X44, X45, NG Y Channel = 48
     2,            None,   None, 
     3,            None,   None, 
     4,            None,   None, 
     5,            None,   None, 
     6,            None,   None, 
     7,            None,   None, 
     8,            None,   None, 
     9,            None,   None, 
    10,            None,   None, 
