
====================================================================================================
Number,       Operation, Result, Comment
     1,      MutualTest,   Fail,  NG X/Y Node = (43,44), (43,45), (43,46), (44,41), (44,42), (44,43), (44,44), (44,45), (44,46), (44,47), (45,2), (45,3), (45,4), (45,5), (45,36), (45,37), (45,38), (45,39), (45,40), (45,41), (45,42), (45,43), (45,44), (45,45), (45,46), (45,47), (46,2), (46,3), (46,4), (46,5), (46,6), (46,7), (46,9), (46,18), (46,19), (46,20), (46,36), (46,37), (46,38), (46,39), (46,40), (46,41), (46,42), (46,43), (46,44), (47,2), (47,3), (47,4), (47,5), (47,6)... | NG X Channel = X45, NG Y Channel = 1, 48
     2,            None,   None, 
     3,            None,   None, 
     4,            None,   None, 
     5,            None,   None, 
     6,            None,   None, 
     7,            None,   None, 
     8,            None,   None, 
     9,            None,   None, 
    10,            None,   None, 
