NG Num,    18,Result Comment: , 1 = Pass (Green --> Under +/- Threshold of Target or Compared with Golden Sample)
Node NG,   12,                , 0 = Fail (Purple --> Less than Target Voltage)
Line NG,    6,                , 4 = Fail (Red --> More than Target Voltage)
                            ,,, 7 = Fail (Blue --> More or Less than  +/- Threshold of Compared with Golden Sample)
            ,,Fail Parameter: , A = Voltage vs Target
                            ,,, B = Voltage vs Golden Sample
                            ,,, C = Calibration vs Golden Sample
Title,SiS AutoTool_0519A_1+1_150615
ITO,Default
Golden Sample, None

Node Constraints
Target Voltage Threshold (%),Post,12,2.32V,Neg,12,1.82V
Line Constraints
Threshold (%),Calib Time,-25,20
Out of Spec Node (%),Tx,50,Rx,50

X Inverse,0,Y Inverse,0,
XY Exchange
Channel Info,

Data Type,1
region_x_num_per_chip,,Master,5,
region_y_num_per_chip,,Master,6,

Width,48,
Height,56,
Button,0,,,

Table1:,CalibLoopcnt
 Y\X,            X1,            X2,            X3,            X4,            X5,            X6,            X7,            X8,            X9,           X10,           X11,           X12,           X13,           X14,           X15,           X16,           X17,           X18,           X19,           X20,           X21,           X22,           X23,           X24,           X25,           X26,           X27,           X28,           X29,           X30,           X31,           X32,           X33,           X34,           X35,           X36,           X37,           X38,           X39,           X40,           X41,           X42,           X43,           X44,           X45,           X46,           X47,           X48,
 Y24,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y23,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y22,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y21,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y20,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y19,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y18,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y17,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y16,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y15,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y14,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y13,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y12,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y11,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
 Y10,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y9,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y8,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y7,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y5,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y4,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y3,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y2,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,
  Y1,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,             6,

Table2:,CalibSampleTime
 Y\X,            X1,            X2,            X3,            X4,            X5,            X6,            X7,            X8,            X9,           X10,           X11,           X12,           X13,           X14,           X15,           X16,           X17,           X18,           X19,           X20,           X21,           X22,           X23,           X24,           X25,           X26,           X27,           X28,           X29,           X30,           X31,           X32,           X33,           X34,           X35,           X36,           X37,           X38,           X39,           X40,           X41,           X42,           X43,           X44,           X45,           X46,           X47,           X48,
 Y56,         0.325,         0.350,         0.300,         0.300,         0.375,         0.375,         0.350,         0.350,         0.300,         0.300,         0.350,         0.350,         0.300,         0.300,         0.300,         0.350,         0.400,         0.400,         0.325,         0.325,         0.400,         0.400,         0.350,         0.350,         0.375,         0.375,         0.375,         0.375,         0.425,         0.425,         0.400,         0.400,         0.475,         0.425,         0.425,         0.450,         0.450,         0.450,         0.525,         0.525,         0.500,         0.500,         0.475,         0.475,         0.500,         0.500,         0.475,         0.350,
 Y55,         0.500,         0.525,         0.450,         0.500,         0.550,         0.550,         0.525,         0.550,         0.475,         0.500,         0.550,         0.525,         0.500,         0.475,         0.500,         0.550,         0.600,         0.600,         0.500,         0.500,         0.600,         0.600,         0.525,         0.500,         0.525,         0.550,         0.575,         0.550,         0.600,         0.650,         0.600,         0.600,         0.700,         0.650,         0.650,         0.700,         0.675,         0.675,         0.775,         0.775,         0.750,         0.750,         0.725,         0.725,         0.800,         0.775,         0.750,         0.500,
 Y54,         0.500,         0.525,         0.475,         0.500,         0.550,         0.575,         0.525,         0.550,         0.475,         0.500,         0.550,         0.550,         0.500,         0.500,         0.525,         0.550,         0.600,         0.600,         0.500,         0.525,         0.600,         0.600,         0.525,         0.500,         0.525,         0.525,         0.550,         0.525,         0.575,         0.600,         0.550,         0.575,         0.650,         0.650,         0.625,         0.650,         0.625,         0.625,         0.725,         0.725,         0.700,         0.725,         0.700,         0.725,         0.800,         0.775,         0.775,         0.500,
 Y53,         0.500,         0.500,         0.475,         0.500,         0.550,         0.575,         0.550,         0.550,         0.475,         0.500,         0.550,         0.550,         0.525,         0.500,         0.525,         0.550,         0.625,         0.625,         0.525,         0.525,         0.625,         0.625,         0.525,         0.500,         0.525,         0.550,         0.550,         0.525,         0.575,         0.600,         0.550,         0.575,         0.650,         0.625,         0.600,         0.625,         0.625,         0.625,         0.725,         0.725,         0.725,         0.725,         0.700,         0.700,         0.800,         0.775,         0.775,         0.550,
